Student ID,Student Name,Course Code,Final Grade
113820457,EmreLowry ,ST259,62.4
113820457,EmreLowry ,ST494,68.6
119616823,MehreenFranks ,CP460,65.6
119616823,MehreenFranks ,ST494,72.2
150295440,AbdurrahmanPerson ,BI111,77.4
150295440,AbdurrahmanPerson ,ST259,84.2
172348496,MaggieBarnard ,EC120,75.0
172348496,MaggieBarnard ,MA200,64.2
185598260,ReillyWoodward ,BU111,78.0
185598260,ReillyWoodward ,BU352,86.6
229922406,ZaynahAlfaro ,CP317,65.4
229922406,ZaynahAlfaro ,EC120,73.4
241905753,EmmeBlackmore ,CP460,69.0
241905753,EmmeBlackmore ,ST260,75.2
259607962,RyleeLacey ,PS262,79.4
259607962,RyleeLacey ,ST260,62.6
260735737,JazminForeman ,BI110,83.8
260735737,JazminForeman ,CP164,82.4
306851690,BevanMorton ,EC120,59.8
362937206,BrendenBray ,CP317,70.6
362937206,BrendenBray ,PS263,82.0
399463559,LeoniStamp ,BI111,60.8
399463559,LeoniStamp ,CP414,76.2
413787382,MarkusCote ,BU415,63.8
413787382,MarkusCote ,CP164,75.8
422078053,DeonHaynes ,BI110,81.8
422078053,DeonHaynes ,BU111,87.2
423091466,ZenaWebster ,MA370,75.6
423091466,ZenaWebster ,PS262,63.8
440254806,BethanieOliver ,BU415,75.0
440254806,BethanieOliver ,CP414,62.6
453032915,KaydeeBroadhurst ,CP164,70.4
453032915,KaydeeBroadhurst ,CP372,80.2
454730171,ElouiseKouma ,BU415,66.4
454730171,ElouiseKouma ,CP414,79.0
500461394,EmilyHale ,MA200,82.0
500461394,EmilyHale ,ST259,72.0
510661066,EbrahimLloyd ,BU352,81.8
510661066,EbrahimLloyd ,ST260,82.4
580228531,LincolnBowler ,BU111,75.4
580228531,LincolnBowler ,CP372,66.6
591930318,IgnacyFerguson ,BI111,76.4
591930318,IgnacyFerguson ,MA370,73.0
620731804,RudyBegum ,MA200,67.8
620731804,RudyBegum ,PS263,69.4
642176077,TeddyHyde ,BI110,69.0
642176077,TeddyHyde ,PS263,76.8
